timestamp,time_seconds,timestamp_ns,t_ms,t_ms_corrected_ns,gripper_side,sw,opening_mm,angle_deg
2026-03-27T17:06:24.642203+00:00,0.041783,1774631184642202712,1597876,1774631184642444800,left,OFF,0.5,0.97
2026-03-27T17:06:24.658749+00:00,0.058329,1774631184658749012,1597892,1774631184658659072,left,OFF,0.5,0.97
2026-03-27T17:06:24.675053+00:00,0.074633,1774631184675052712,1597908,1774631184674924544,left,OFF,0.5,0.97
2026-03-27T17:06:24.690485+00:00,0.090065,1774631184690485312,1597924,1774631184690807808,left,OFF,0.5,0.97
2026-03-27T17:06:24.708052+00:00,0.107632,1774631184708052312,1597940,1774631184707383808,left,OFF,0.5,0.97
2026-03-27T17:06:24.722160+00:00,0.121740,1774631184722159812,1597956,1774631184723042048,left,OFF,0.5,0.97
2026-03-27T17:06:24.738656+00:00,0.138236,1774631184738656112,1597972,1774631184738973696,left,OFF,0.5,0.97
2026-03-27T17:06:24.754942+00:00,0.154522,1774631184754942112,1597988,1774631184755013376,left,OFF,0.5,0.97
2026-03-27T17:06:24.770420+00:00,0.170000,1774631184770420012,1598004,1774631184770886400,left,OFF,0.5,0.97
2026-03-27T17:06:24.786987+00:00,0.186566,1774631184786986412,1598020,1774631184786945024,left,OFF,0.5,0.97
2026-03-27T17:06:24.803347+00:00,0.202927,1774631184803347112,1598036,1774631184803081472,left,OFF,0.5,0.97
2026-03-27T17:06:24.818640+00:00,0.218220,1774631184818640312,1598052,1774631184819016448,left,OFF,0.5,0.97
2026-03-27T17:06:24.835229+00:00,0.234809,1774631184835228712,1598068,1774631184835097600,left,OFF,0.5,0.88
2026-03-27T17:06:24.850499+00:00,0.250079,1774631184850499412,1598084,1774631184851004672,left,OFF,0.5,0.97
2026-03-27T17:06:24.867043+00:00,0.266623,1774631184867042812,1598100,1774631184867039232,left,OFF,0.5,0.97
2026-03-27T17:06:24.883493+00:00,0.283072,1774631184883492512,1598116,1774631184883154688,left,OFF,0.5,0.97
2026-03-27T17:06:24.898773+00:00,0.298353,1774631184898772912,1598132,1774631184899116544,left,OFF,0.5,0.97
2026-03-27T17:06:24.915182+00:00,0.314762,1774631184915182412,1598148,1774631184915156224,left,OFF,0.5,0.97
2026-03-27T17:06:24.931725+00:00,0.331305,1774631184931725112,1598164,1774631184931281664,left,OFF,0.5,0.97
2026-03-27T17:06:24.947005+00:00,0.346585,1774631184947005112,1598180,1774631184947270912,left,OFF,0.5,0.97
2026-03-27T17:06:24.963463+00:00,0.363043,1774631184963463412,1598196,1774631184963332608,left,OFF,0.5,0.88
2026-03-27T17:06:24.979028+00:00,0.378608,1774631184979028112,1598212,1774631184979320064,left,OFF,0.5,0.97
2026-03-27T17:06:24.995230+00:00,0.394810,1774631184995230412,1598228,1774631184995337728,left,OFF,0.5,0.97
2026-03-27T17:06:25.011750+00:00,0.411330,1774631185011749712,1598244,1774631185011425280,left,OFF,0.5,0.97
2026-03-27T17:06:25.027200+00:00,0.426780,1774631185027200012,1598260,1774631185027427584,left,OFF,0.5,0.97
2026-03-27T17:06:25.043670+00:00,0.443250,1774631185043670412,1598276,1774631185043490560,left,OFF,0.5,0.97
2026-03-27T17:06:25.059990+00:00,0.459570,1774631185059989812,1598292,1774631185059586304,left,OFF,0.5,0.97
2026-03-27T17:06:25.075441+00:00,0.475020,1774631185075440512,1598308,1774631185075603712,left,OFF,0.5,0.88
2026-03-27T17:06:25.091718+00:00,0.491298,1774631185091717912,1598324,1774631185091651840,left,OFF,0.5,0.88
2026-03-27T17:06:25.107222+00:00,0.506802,1774631185107221812,1598340,1774631185107636992,left,OFF,0.5,0.97
2026-03-27T17:06:25.123662+00:00,0.523242,1774631185123662212,1598356,1774631185123672832,left,OFF,0.5,0.97
2026-03-27T17:06:25.140051+00:00,0.539631,1774631185140051512,1598372,1774631185139747328,left,OFF,0.5,0.97
2026-03-27T17:06:25.155440+00:00,0.555020,1774631185155440412,1598388,1774631185155749120,left,OFF,0.5,0.97
2026-03-27T17:06:25.171952+00:00,0.571532,1774631185171951912,1598404,1774631185171803392,left,OFF,0.5,0.97
2026-03-27T17:06:25.188251+00:00,0.587830,1774631185188250512,1598420,1774631185187882496,left,OFF,0.5,0.97
2026-03-27T17:06:25.203824+00:00,0.603404,1774631185203823812,1598436,1774631185203912192,left,OFF,0.5,0.97
2026-03-27T17:06:25.220136+00:00,0.619716,1774631185220136412,1598452,1774631185219969280,left,OFF,0.5,0.97
