timestamp,time_seconds,timestamp_ns,t_ms,t_ms_corrected_ns,gripper_side,sw,opening_mm,angle_deg
2026-03-27T18:33:05.215070+00:00,25.119004,1774636385215069412,1079092,1774636385215069412,left,OFF,3.7,6.32
2026-03-27T18:33:05.230839+00:00,25.134774,1774636385230838912,1079108,1774636385230838912,left,OFF,3.7,6.32
2026-03-27T18:33:05.247377+00:00,0.027678,1774636385247376612,1079124,1774636385247376612,left,OFF,3.7,6.32
2026-03-27T18:33:05.262598+00:00,0.042900,1774636385262598212,1079140,1774636385262839552,left,OFF,3.7,6.32
2026-03-27T18:33:05.281746+00:00,0.062048,1774636385281745712,1079156,1774636385280548096,left,OFF,3.7,6.32
2026-03-27T18:33:05.054240+00:00,-0.165458,1774636385054239812,1078932,1774636385054435328,left,OFF,3.7,6.32
2026-03-27T18:33:05.070593+00:00,-0.149105,1774636385070593012,1078948,1774636385070510848,left,OFF,3.7,6.32
2026-03-27T18:33:05.086217+00:00,-0.133481,1774636385086216812,1078964,1774636385086540544,left,OFF,3.7,6.32
2026-03-27T18:33:05.102477+00:00,-0.117221,1774636385102477112,1078980,1774636385102598656,left,OFF,3.7,6.32
2026-03-27T18:33:05.118963+00:00,-0.100736,1774636385118962612,1078996,1774636385118688256,left,OFF,3.7,6.32
2026-03-27T18:33:05.134280+00:00,-0.085418,1774636385134279912,1079012,1774636385134714880,left,OFF,3.7,6.32
2026-03-27T18:33:05.164581+00:00,-0.055117,1774636385164580912,1079028,1774636385151624448,left,OFF,3.7,6.32
2026-03-27T18:33:05.167608+00:00,-0.052090,1774636385167607912,1079044,1774636385167709440,left,OFF,3.7,6.32
2026-03-27T18:33:05.182578+00:00,-0.037120,1774636385182578512,1079060,1774636385183725056,left,OFF,3.7,6.32
2026-03-27T18:33:05.203034+00:00,-0.016664,1774636385203033812,1079076,1774636385200022528,left,OFF,3.7,6.32
2026-03-27T18:33:05.294531+00:00,0.074833,1774636385294531412,1079172,1774636385295735296,left,OFF,3.7,6.32
2026-03-27T18:33:05.311067+00:00,0.091369,1774636385311067112,1079188,1774636385311505408,left,OFF,3.7,6.32
2026-03-27T18:33:05.327707+00:00,0.108009,1774636385327706912,1079204,1774636385327625728,left,OFF,3.7,6.32
2026-03-27T18:33:05.342889+00:00,0.123191,1774636385342888812,1079220,1774636385343393536,left,OFF,3.7,6.32
2026-03-27T18:33:05.359295+00:00,0.139597,1774636385359295112,1079236,1774636385359372544,left,OFF,3.7,6.32
2026-03-27T18:33:05.385099+00:00,0.165401,1774636385385099012,1079252,1774636385378476544,left,OFF,3.7,6.32
2026-03-27T18:33:05.392560+00:00,0.172862,1774636385392560412,1079268,1774636385394232320,left,OFF,3.7,6.32
2026-03-27T18:33:05.407679+00:00,0.187981,1774636385407678712,1079284,1774636385409794560,left,OFF,3.7,6.32
2026-03-27T18:33:05.423005+00:00,0.203307,1774636385423005412,1079300,1774636385425276160,left,OFF,3.7,6.32
2026-03-27T18:33:05.439219+00:00,0.219521,1774636385439218912,1079316,1774636385440915712,left,OFF,3.7,6.32
2026-03-27T18:33:05.455697+00:00,0.235999,1774636385455697412,1079332,1774636385456733952,left,OFF,3.7,6.32
2026-03-27T18:33:05.471136+00:00,0.251438,1774636385471136212,1079348,1774636385472463616,left,OFF,3.7,6.32
2026-03-27T18:33:05.487663+00:00,0.267965,1774636385487663112,1079364,1774636385488348672,left,OFF,3.7,6.32
2026-03-27T18:33:05.504339+00:00,0.284641,1774636385504339312,1079380,1774636385504384256,left,OFF,3.7,6.32
2026-03-27T18:33:05.519536+00:00,0.299838,1774636385519536412,1079396,1774636385520263936,left,OFF,3.7,6.32
2026-03-27T18:33:05.535913+00:00,0.316214,1774636385535912412,1079412,1774636385536228608,left,OFF,3.7,6.32
