timestamp,time_seconds,timestamp_ns,t_ms,t_ms_corrected_ns,gripper_side,sw,opening_mm,angle_deg
2026-03-27T18:33:05.211005+00:00,25.114940,1774636385211005512,1079652,1774636385211005512,right,ON,2.4,4.13
2026-03-27T18:33:05.227315+00:00,25.131250,1774636385227315112,1079668,1774636385227315112,right,ON,2.4,4.13
2026-03-27T18:33:05.243281+00:00,0.023583,1774636385243281312,1079684,1774636385243281312,right,ON,2.4,4.13
2026-03-27T18:33:05.259174+00:00,0.039476,1774636385259174312,1079700,1774636385259264768,right,ON,2.4,4.13
2026-03-27T18:33:05.275592+00:00,0.055894,1774636385275592112,1079716,1774636385275480064,right,ON,2.4,4.13
2026-03-27T18:33:05.050701+00:00,-0.168997,1774636385050700912,1079492,1774636385050902528,right,ON,2.4,4.13
2026-03-27T18:33:05.105829+00:00,-0.113869,1774636385105829212,1079508,1774636385069339648,right,ON,2.4,4.13
2026-03-27T18:33:05.106681+00:00,-0.113017,1774636385106681212,1079524,1774636385086771456,right,ON,2.4,4.13
2026-03-27T18:33:05.107585+00:00,-0.112113,1774636385107584812,1079540,1774636385103263488,right,ON,2.4,4.13
2026-03-27T18:33:05.114354+00:00,-0.105344,1774636385114354212,1079556,1774636385119150592,right,ON,2.4,4.13
2026-03-27T18:33:05.130765+00:00,-0.088933,1774636385130764812,1079572,1774636385135069440,right,ON,2.4,4.13
2026-03-27T18:33:05.147375+00:00,-0.072323,1774636385147375412,1079588,1774636385151063040,right,ON,2.4,4.13
2026-03-27T18:33:05.166931+00:00,-0.052767,1774636385166931012,1079604,1774636385167223552,right,ON,2.5,4.22
2026-03-27T18:33:05.180041+00:00,-0.039657,1774636385180041312,1079620,1774636385183215104,right,ON,2.4,4.13
2026-03-27T18:33:05.202856+00:00,-0.016842,1774636385202856112,1079636,1774636385199629056,right,ON,2.4,4.13
2026-03-27T18:33:05.292137+00:00,0.072439,1774636385292137412,1079732,1774636385291873536,right,ON,2.4,4.13
2026-03-27T18:33:05.307499+00:00,0.087801,1774636385307499612,1079748,1774636385307797504,right,ON,2.4,4.13
2026-03-27T18:33:05.324264+00:00,0.104566,1774636385324263912,1079764,1774636385324063488,right,ON,2.4,4.13
2026-03-27T18:33:05.339507+00:00,0.119808,1774636385339506612,1079780,1774636385339947264,right,ON,2.4,4.13
2026-03-27T18:33:05.355695+00:00,0.135997,1774636385355694912,1079796,1774636385355928320,right,ON,2.4,4.13
2026-03-27T18:33:05.376859+00:00,0.157161,1774636385376858712,1079812,1774636385373554688,right,ON,2.4,4.13
2026-03-27T18:33:05.391455+00:00,0.171757,1774636385391455512,1079828,1774636385390330368,right,ON,2.4,4.13
2026-03-27T18:33:05.404002+00:00,0.184304,1774636385404001712,1079844,1774636385405956352,right,ON,2.4,4.13
2026-03-27T18:33:05.419387+00:00,0.199689,1774636385419387012,1079860,1774636385421501696,right,ON,2.4,4.13
2026-03-27T18:33:05.436041+00:00,0.216343,1774636385436041112,1079876,1774636385437297408,right,ON,2.4,4.13
2026-03-27T18:33:05.452063+00:00,0.232365,1774636385452063012,1079892,1774636385453135616,right,ON,2.5,4.22
2026-03-27T18:33:05.467559+00:00,0.247861,1774636385467559012,1079908,1774636385468892928,right,ON,2.4,4.13
2026-03-27T18:33:05.484062+00:00,0.264364,1774636385484062212,1079924,1774636385484794880,right,ON,2.5,4.22
2026-03-27T18:33:05.499629+00:00,0.279931,1774636385499628712,1079940,1774636385500627968,right,ON,2.4,4.13
2026-03-27T18:33:05.516201+00:00,0.296503,1774636385516201412,1079956,1774636385516593408,right,ON,2.4,4.13
2026-03-27T18:33:05.532347+00:00,0.312649,1774636385532347012,1079972,1774636385532589312,right,ON,2.4,4.13
2026-03-27T18:33:05.547665+00:00,0.327967,1774636385547664712,1079988,1774636385548468992,right,ON,2.4,4.13
2026-03-27T18:33:05.563995+00:00,0.344297,1774636385563995512,1080004,1774636385564419072,right,ON,2.4,4.13
2026-03-27T18:33:05.591531+00:00,0.371833,1774636385591530712,1080020,1774636385582182912,right,ON,2.4,4.13
2026-03-27T18:33:05.599560+00:00,0.379862,1774636385599560212,1080036,1774636385598508032,right,ON,2.4,4.13
2026-03-27T18:33:05.612207+00:00,0.392509,1774636385612206812,1080052,1774636385614301440,right,ON,2.4,4.13
2026-03-27T18:33:05.628103+00:00,0.408405,1774636385628103312,1080068,1774636385630103808,right,ON,2.4,4.04
2026-03-27T18:33:05.644255+00:00,0.424556,1774636385644254612,1080084,1774636385645948416,right,ON,2.4,4.04
2026-03-27T18:33:05.660654+00:00,0.440955,1774636385660653612,1080100,1774636385661861888,right,ON,2.4,4.04
2026-03-27T18:33:05.676118+00:00,0.456420,1774636385676118312,1080116,1774636385677715968,right,ON,2.4,4.04
2026-03-27T18:33:05.692480+00:00,0.472782,1774636385692480012,1080132,1774636385693628928,right,ON,2.4,4.04
2026-03-27T18:33:05.708833+00:00,0.489135,1774636385708833112,1080148,1774636385709592576,right,ON,2.4,4.04
