timestamp,time_seconds,timestamp_ns,t_ms,t_ms_corrected_ns,gripper_side,sw,opening_mm,angle_deg
2026-03-26T14:11:54.315205+00:00,578.510847,1774534314315205006,1020868,1774534314315205006,left,OFF,0.0,-1.21
2026-03-26T14:11:54.331601+00:00,578.527243,1774534314331601306,1020884,1774534314331601306,left,OFF,0.0,-1.21
2026-03-26T14:11:54.346960+00:00,578.542601,1774534314346959806,1020900,1774534314346959806,left,OFF,0.0,-1.3
2026-03-26T14:11:54.363461+00:00,578.559102,1774534314363460606,1020916,1774534314363325696,left,OFF,0.0,-1.21
2026-03-26T14:11:54.378775+00:00,578.574416,1774534314378774806,1020932,1774534314379000320,left,OFF,0.0,-1.21
2026-03-26T14:11:54.395250+00:00,578.590892,1774534314395250406,1020948,1774534314395083776,left,OFF,0.0,-1.21
2026-03-26T14:11:54.411760+00:00,578.607401,1774534314411759706,1020964,1774534314411370752,left,OFF,0.0,-1.21
2026-03-26T14:11:54.427035+00:00,578.622676,1774534314427034806,1020980,1774534314427247104,left,OFF,0.0,-1.21
2026-03-26T14:11:54.443549+00:00,578.639191,1774534314443549406,1020996,1774534314443359744,left,OFF,0.0,-1.21
2026-03-26T14:11:54.460027+00:00,0.024331,1774534314460027506,1021012,1774534314459602176,left,OFF,0.0,-1.3
2026-03-26T14:11:54.475433+00:00,0.039736,1774534314475432606,1021028,1774534314475584512,left,OFF,0.0,-1.21
2026-03-26T14:11:54.491836+00:00,0.056139,1774534314491835906,1021044,1774534314491689216,left,OFF,0.0,-1.21
2026-03-26T14:11:54.283190+00:00,-0.152507,1774534314283189406,1020836,1774534314283023104,left,OFF,0.0,-1.21
2026-03-26T14:11:54.301857+00:00,-0.133840,1774534314301856406,1020852,1774534314299238656,left,OFF,0.0,-1.21
2026-03-26T14:11:54.507302+00:00,0.071605,1774534314507301806,1021060,1774534314507619840,left,OFF,0.0,-1.21
2026-03-26T14:11:54.523622+00:00,0.087925,1774534314523621806,1021076,1774534314523647744,left,OFF,0.0,-1.21
2026-03-26T14:11:54.540165+00:00,0.104468,1774534314540164906,1021092,1774534314539799808,left,OFF,0.0,-1.21
2026-03-26T14:11:54.555620+00:00,0.119923,1774534314555619906,1021108,1774534314555795712,left,OFF,0.0,-1.3
2026-03-26T14:11:54.571922+00:00,0.136225,1774534314571922106,1021124,1774534314571856384,left,OFF,0.0,-1.21
2026-03-26T14:11:54.588449+00:00,0.152752,1774534314588448606,1021140,1774534314588013056,left,OFF,0.0,-1.21
2026-03-26T14:11:54.603846+00:00,0.168149,1774534314603846306,1021156,1774534314604024064,left,OFF,0.0,-1.21
2026-03-26T14:11:54.620231+00:00,0.184534,1774534314620230806,1021172,1774534314620103680,left,OFF,0.0,-1.3
2026-03-26T14:11:54.635707+00:00,0.200010,1774534314635707006,1021188,1774534314636076544,left,OFF,0.0,-1.21
2026-03-26T14:11:54.652014+00:00,0.216317,1774534314652013806,1021204,1774534314652104960,left,OFF,0.0,-1.21
2026-03-26T14:11:54.668587+00:00,0.232890,1774534314668586706,1021220,1774534314668221696,left,OFF,0.0,-1.3
2026-03-26T14:11:54.683959+00:00,0.248262,1774534314683958806,1021236,1774534314684222976,left,OFF,0.0,-1.3
2026-03-26T14:11:54.700243+00:00,0.264546,1774534314700242506,1021252,1774534314700265984,left,OFF,0.0,-1.3
2026-03-26T14:11:54.716859+00:00,0.281162,1774534314716858906,1021268,1774534314716392192,left,OFF,0.0,-1.21
2026-03-26T14:11:54.732283+00:00,0.296586,1774534314732283306,1021284,1774534314732421376,left,OFF,0.0,-1.21
2026-03-26T14:11:54.748594+00:00,0.312897,1774534314748594106,1021300,1774534314748488448,left,OFF,0.0,-1.21
2026-03-26T14:11:54.764058+00:00,0.328361,1774534314764058306,1021316,1774534314764476672,left,OFF,0.0,-1.21
2026-03-26T14:11:54.780541+00:00,0.344844,1774534314780540906,1021332,1774534314780526592,left,OFF,0.0,-1.21
2026-03-26T14:11:54.796861+00:00,0.361164,1774534314796861106,1021348,1774534314796610048,left,OFF,0.0,-1.21
2026-03-26T14:11:54.812369+00:00,0.376672,1774534314812369006,1021364,1774534314812625152,left,OFF,0.0,-1.21
