timestamp,time_seconds,timestamp_ns,t_ms,t_ms_corrected_ns,gripper_side,sw,opening_mm,angle_deg
2026-03-26T14:11:54.312769+00:00,578.508411,1774534314312769112,1021620,1774534314312769112,right,ON,8.5,14.06
2026-03-26T14:11:54.329208+00:00,578.524850,1774534314329207912,1021636,1774534314329207912,right,ON,8.6,14.15
2026-03-26T14:11:54.345655+00:00,578.541297,1774534314345655312,1021652,1774534314345655312,right,ON,8.6,14.15
2026-03-26T14:11:54.361100+00:00,578.556741,1774534314361099812,1021668,1774534314361398784,right,ON,8.6,14.15
2026-03-26T14:11:54.377366+00:00,578.573008,1774534314377366212,1021684,1774534314377436928,right,ON,8.5,14.06
2026-03-26T14:11:54.392858+00:00,578.588500,1774534314392858412,1021700,1774534314393185536,right,ON,8.6,14.15
2026-03-26T14:11:54.409242+00:00,578.604883,1774534314409241812,1021716,1774534314409217280,right,ON,8.6,14.24
2026-03-26T14:11:54.425669+00:00,578.621311,1774534314425669212,1021732,1774534314425414400,right,ON,8.6,14.24
2026-03-26T14:11:54.441118+00:00,578.636760,1774534314441118512,1021748,1774534314441334784,right,ON,8.6,14.24
2026-03-26T14:11:54.457583+00:00,0.021886,1774534314457583312,1021764,1774534314457439232,right,ON,8.6,14.24
2026-03-26T14:11:54.474040+00:00,0.038343,1774534314474039512,1021780,1774534314473657856,right,ON,8.6,14.24
2026-03-26T14:11:54.280865+00:00,-0.154832,1774534314280865012,1021588,1774534314281001984,right,ON,9.0,14.85
2026-03-26T14:11:54.301718+00:00,-0.133979,1774534314301717812,1021604,1774534314297334528,right,ON,8.7,14.33
2026-03-26T14:11:54.490490+00:00,0.054793,1774534314490490012,1021796,1774534314489949696,right,ON,8.6,14.24
2026-03-26T14:11:54.505799+00:00,0.070102,1774534314505799112,1021812,1774534314505977600,right,ON,8.7,14.33
2026-03-26T14:11:54.521128+00:00,0.085431,1774534314521127712,1021828,1774534314521824000,right,ON,8.7,14.41
2026-03-26T14:11:54.537601+00:00,0.101904,1774534314537600812,1021844,1774534314537815808,right,ON,8.8,14.5
2026-03-26T14:11:54.554022+00:00,0.118325,1774534314554022212,1021860,1774534314553904128,right,ON,8.7,14.41
2026-03-26T14:11:54.569470+00:00,0.133773,1774534314569469612,1021876,1774534314569854976,right,ON,8.7,14.41
2026-03-26T14:11:54.585895+00:00,0.150198,1774534314585895112,1021892,1774534314585900800,right,ON,8.7,14.41
2026-03-26T14:11:54.602342+00:00,0.166645,1774534314602342012,1021908,1774534314602024448,right,ON,8.7,14.41
2026-03-26T14:11:54.617593+00:00,0.181896,1774534314617593312,1021924,1774534314617987840,right,ON,8.8,14.59
2026-03-26T14:11:54.634104+00:00,0.198408,1774534314634104412,1021940,1774534314634046720,right,ON,8.9,14.77
2026-03-26T14:11:54.649458+00:00,0.213761,1774534314649458312,1021956,1774534314649985792,right,ON,9.0,14.94
2026-03-26T14:11:54.666372+00:00,0.230675,1774534314666371812,1021972,1774534314666082048,right,ON,9.2,15.12
2026-03-26T14:11:54.682348+00:00,0.246651,1774534314682347612,1021988,1774534314682160384,right,ON,9.2,15.12
2026-03-26T14:11:54.697699+00:00,0.262002,1774534314697699212,1022004,1774534314698129664,right,ON,9.2,15.12
2026-03-26T14:11:54.714139+00:00,0.278442,1774534314714139212,1022020,1774534314714166016,right,ON,8.7,14.41
2026-03-26T14:11:54.730786+00:00,0.295089,1774534314730785412,1022036,1774534314730287872,right,ON,8.0,13.18
2026-03-26T14:11:54.746102+00:00,0.310405,1774534314746102112,1022052,1774534314746301952,right,ON,7.4,12.22
2026-03-26T14:11:54.762387+00:00,0.326690,1774534314762386812,1022068,1774534314762351104,right,ON,6.8,11.16
2026-03-26T14:11:54.778288+00:00,0.342591,1774534314778288212,1022084,1774534314778381312,right,ON,6.1,10.11
2026-03-26T14:11:54.795088+00:00,0.359392,1774534314795088412,1022100,1774534314794506240,right,ON,5.7,9.49
2026-03-26T14:11:54.810890+00:00,0.375193,1774534314810890012,1022116,1774534314810593536,right,ON,5.3,8.79
2026-03-26T14:11:54.826122+00:00,0.390425,1774534314826122312,1022132,1774534314826582528,right,ON,4.7,7.73
2026-03-26T14:11:54.842566+00:00,0.406869,1774534314842566212,1022148,1774534314842621952,right,ON,5.2,8.53
2026-03-26T14:11:54.858991+00:00,0.423294,1774534314858990612,1022164,1774534314858703360,right,ON,6.9,11.43
2026-03-26T14:11:54.874253+00:00,0.438556,1774534314874253012,1022180,1774534314874697728,right,ON,8.0,13.18
