timestamp,time_seconds,timestamp_ns,t_ms,t_ms_corrected_ns,gripper_side,sw,opening_mm,angle_deg
2026-03-26T14:12:46.493275+00:00,52.057578,1774534366493274912,1073668,1774534366493274912,right,ON,8.9,14.68
2026-03-26T14:12:46.509791+00:00,52.074095,1774534366509791512,1073684,1774534366509791512,right,ON,8.9,14.68
2026-03-26T14:12:46.526162+00:00,52.090466,1774534366526162412,1073700,1774534366525983744,right,ON,8.9,14.68
2026-03-26T14:12:46.541480+00:00,52.105783,1774534366541479812,1073716,1774534366541737216,right,ON,8.9,14.77
2026-03-26T14:12:46.557902+00:00,52.122205,1774534366557902212,1073732,1774534366557828864,right,ON,9.1,15.03
2026-03-26T14:12:46.574343+00:00,52.138646,1774534366574342612,1073748,1774534366574084864,right,ON,9.3,15.38
2026-03-26T14:12:46.590082+00:00,52.154385,1774534366590081712,1073764,1774534366590132736,right,ON,9.4,15.47
2026-03-26T14:12:46.606206+00:00,52.170510,1774534366606206512,1073780,1774534366606208512,right,ON,9.4,15.47
2026-03-26T14:12:46.621673+00:00,52.185976,1774534366621672612,1073796,1774534366622073600,right,ON,9.4,15.56
2026-03-26T14:12:46.637959+00:00,52.202263,1774534366637959512,1073812,1774534366638066944,right,ON,9.6,15.91
2026-03-26T14:12:46.654392+00:00,52.218695,1774534366654391612,1073828,1774534366654188288,right,ON,10.2,16.79
2026-03-26T14:12:46.669795+00:00,52.234098,1774534366669794612,1073844,1774534366670114560,right,ON,10.9,17.84
2026-03-26T14:12:46.686259+00:00,0.022557,1774534366686258712,1073860,1774534366686176000,right,ON,11.7,18.98
2026-03-26T14:12:46.702693+00:00,0.038992,1774534366702693012,1073876,1774534366702328064,right,ON,12.2,19.78
2026-03-26T14:12:46.718150+00:00,0.054449,1774534366718150212,1073892,1774534366718324736,right,ON,12.6,20.39
2026-03-26T14:12:46.734599+00:00,0.070898,1774534366734599412,1073908,1774534366734417664,right,ON,13.1,21.09
2026-03-26T14:12:46.749933+00:00,0.086232,1774534366749932912,1073924,1774534366750356224,right,ON,13.5,21.71
2026-03-26T14:12:46.766317+00:00,0.102616,1774534366766317112,1073940,1774534366766379520,right,ON,13.8,22.15
2026-03-26T14:12:46.445976+00:00,-0.217725,1774534366445975912,1073620,1774534366445743360,right,ON,8.8,14.5
2026-03-26T14:12:46.465799+00:00,-0.197902,1774534366465799212,1073636,1774534366461988096,right,ON,8.8,14.59
2026-03-26T14:12:46.477870+00:00,-0.185831,1774534366477869812,1073652,1774534366477869812,right,ON,8.8,14.59
2026-03-26T14:12:46.782739+00:00,0.119038,1774534366782738912,1073956,1774534366782476288,right,ON,13.9,22.32
2026-03-26T14:12:46.798166+00:00,0.134465,1774534366798166012,1073972,1774534366798455552,right,ON,14.2,22.68
2026-03-26T14:12:46.814625+00:00,0.150923,1774534366814624612,1073988,1774534366814514944,right,ON,14.2,22.76
2026-03-26T14:12:46.831017+00:00,0.167315,1774534366831016412,1074004,1774534366830629120,right,ON,14.6,23.29
2026-03-26T14:12:46.846492+00:00,0.182791,1774534366846491912,1074020,1774534366846644480,right,ON,15.5,24.61
2026-03-26T14:12:46.862928+00:00,0.199227,1774534366862928312,1074036,1774534366862722816,right,ON,16.8,26.54
2026-03-26T14:12:46.878235+00:00,0.214534,1774534366878234912,1074052,1774534366878689536,right,ON,17.4,27.42
2026-03-26T14:12:46.894661+00:00,0.230960,1774534366894661212,1074068,1774534366894719488,right,ON,17.5,27.6
2026-03-26T14:12:46.911078+00:00,0.247377,1774534366911077912,1074084,1774534366910801664,right,ON,17.5,27.6
2026-03-26T14:12:46.926476+00:00,0.262775,1774534366926476512,1074100,1774534366926795008,right,ON,17.5,27.6
2026-03-26T14:12:46.942969+00:00,0.279268,1774534366942969312,1074116,1774534366942851072,right,ON,17.5,27.6
2026-03-26T14:12:46.959373+00:00,0.295671,1774534366959372512,1074132,1774534366958949888,right,ON,17.5,27.6
2026-03-26T14:12:46.974925+00:00,0.311223,1774534366974924512,1074148,1774534366974984448,right,ON,17.5,27.6
2026-03-26T14:12:46.991074+00:00,0.327373,1774534366991074412,1074164,1774534366991032320,right,ON,17.5,27.6
2026-03-26T14:12:47.006488+00:00,0.342787,1774534367006488312,1074180,1774534367007008768,right,ON,17.6,27.69
2026-03-26T14:12:47.022934+00:00,0.359233,1774534367022934012,1074196,1774534367023035648,right,ON,17.5,27.6
2026-03-26T14:12:47.039419+00:00,0.375718,1774534367039419512,1074212,1774534367039111424,right,ON,17.5,27.6
2026-03-26T14:12:47.054943+00:00,0.391242,1774534367054943212,1074228,1774534367055130368,right,ON,17.4,27.42
2026-03-26T14:12:47.071278+00:00,0.407577,1774534367071278212,1074244,1774534367071180800,right,ON,17.1,26.98
2026-03-26T14:12:47.087730+00:00,0.424029,1774534367087730212,1074260,1774534367087271168,right,ON,16.7,26.46
2026-03-26T14:12:47.103005+00:00,0.439304,1774534367103004812,1074276,1774534367103283456,right,ON,16.0,25.31
2026-03-26T14:12:47.119441+00:00,0.455740,1774534367119441212,1074292,1774534367119335424,right,ON,14.1,22.5
2026-03-26T14:12:47.134863+00:00,0.471162,1774534367134863312,1074308,1774534367135329536,right,ON,11.9,19.25
2026-03-26T14:12:47.151340+00:00,0.487639,1774534367151339912,1074324,1774534367151366400,right,ON,9.9,16.35
2026-03-26T14:12:47.167776+00:00,0.504075,1774534367167776312,1074340,1774534367167438592,right,ON,8.5,13.97
2026-03-26T14:12:47.183170+00:00,0.519469,1774534367183170312,1074356,1774534367183452672,right,ON,7.2,11.95
