timestamp,time_seconds,timestamp_ns,tracker_head_x,tracker_head_y,tracker_head_z,tracker_head_qw,tracker_head_qx,tracker_head_qy,tracker_head_qz,tracker_left_x,tracker_left_y,tracker_left_z,tracker_left_qw,tracker_left_qx,tracker_left_qy,tracker_left_qz,tracker_right_x,tracker_right_y,tracker_right_z,tracker_right_qw,tracker_right_qx,tracker_right_qy,tracker_right_qz
2026-03-26T14:12:46.459502+00:00,-0.204199,1774534366459502200,0.552430,0.504607,-0.084767,0.808728,-0.074843,-0.575087,-0.097593,0.579277,0.065967,-0.380614,0.369323,-0.745722,-0.368489,0.413382,0.705404,0.066338,0.155757,0.490688,0.152754,-0.314962,-0.797774
2026-03-26T14:12:46.476553+00:00,-0.187148,1774534366476553200,0.552542,0.504614,-0.084751,0.808694,-0.074817,-0.575122,-0.097817,0.579332,0.065964,-0.380616,0.369319,-0.745711,-0.368487,0.413408,0.705510,0.066211,0.155614,0.490295,0.152068,-0.315882,-0.797686
2026-03-26T14:12:46.493625+00:00,-0.170077,1774534366493624700,0.552685,0.504589,-0.084710,0.808626,-0.074856,-0.575188,-0.097965,0.579393,0.065959,-0.380606,0.369316,-0.745806,-0.368441,0.413280,0.705673,0.066021,0.155489,0.489919,0.151457,-0.316136,-0.797931
2026-03-26T14:12:46.510629+00:00,-0.153072,1774534366510629400,0.552824,0.504599,-0.084687,0.808640,-0.074980,-0.575179,-0.097886,0.579419,0.065955,-0.380618,0.369625,-0.745656,-0.368490,0.413067,0.705909,0.065840,0.155406,0.488974,0.150317,-0.314876,-0.799547
2026-03-26T14:12:46.527653+00:00,-0.136048,1774534366527653400,0.552940,0.504602,-0.084654,0.808637,-0.075009,-0.575183,-0.097894,0.579424,0.065960,-0.380623,0.369952,-0.745080,-0.368221,0.412516,0.706202,0.065574,0.155307,0.488105,0.149427,-0.313535,-0.800716
2026-03-26T14:12:46.544667+00:00,-0.119035,1774534366544666600,0.553053,0.504609,-0.084634,0.808667,-0.074934,-0.575147,-0.097889,0.579453,0.065928,-0.380632,0.369609,-0.746612,-0.369145,0.413364,0.706516,0.065368,0.155163,0.487591,0.148349,-0.312783,-0.801593
2026-03-26T14:12:46.561758+00:00,-0.101944,1774534366561757700,0.553152,0.504606,-0.084612,0.808680,-0.074896,-0.575136,-0.097826,0.579484,0.065956,-0.380616,0.370286,-0.745236,-0.368720,0.412982,0.706591,0.065347,0.155159,0.487511,0.148434,-0.313469,-0.801349
2026-03-26T14:12:46.578876+00:00,-0.084825,1774534366578876000,0.553244,0.504615,-0.084583,0.808690,-0.074811,-0.575127,-0.097836,0.579480,0.065941,-0.380689,0.370056,-0.745715,-0.368938,0.413667,0.706629,0.065385,0.155044,0.487473,0.149274,-0.315187,-0.800541
2026-03-26T14:12:46.595955+00:00,-0.067746,1774534366595955000,0.553334,0.504622,-0.084554,0.808694,-0.074733,-0.575117,-0.097925,0.579462,0.065919,-0.380796,0.370265,-0.745200,-0.368329,0.413581,0.706549,0.065486,0.155016,0.487471,0.152261,-0.320428,-0.797458
2026-03-26T14:12:46.612968+00:00,-0.050733,1774534366612968100,0.553417,0.504626,-0.084524,0.808691,-0.074647,-0.575121,-0.097999,0.579478,0.065963,-0.380923,0.369979,-0.745350,-0.368232,0.413983,0.706655,0.065504,0.154750,0.486468,0.155068,-0.327672,-0.794699
2026-03-26T14:12:46.629985+00:00,-0.033716,1774534366629985100,0.553505,0.504623,-0.084492,0.808691,-0.074574,-0.575125,-0.097982,0.579506,0.065958,-0.381094,0.369571,-0.746179,-0.368184,0.414783,0.706703,0.065792,0.154414,0.487138,0.156129,-0.335189,-0.790999
2026-03-26T14:12:46.647083+00:00,-0.016618,1774534366647082800,0.553590,0.504629,-0.084459,0.808705,-0.074598,-0.575111,-0.097931,0.579398,0.065961,-0.381277,0.370346,-0.744645,-0.367665,0.414690,0.706425,0.066260,0.154042,0.489087,0.157641,-0.341654,-0.786321
2026-03-26T14:12:46.664095+00:00,0.000394,1774534366664095500,0.553675,0.504647,-0.084407,0.808696,-0.074497,-0.575128,-0.097951,0.579263,0.065947,-0.381443,0.370086,-0.745664,-0.368173,0.415551,0.706112,0.066803,0.153622,0.490636,0.159666,-0.348134,-0.782132
2026-03-26T14:12:46.681183+00:00,0.017482,1774534366681183000,0.553789,0.504645,-0.084365,0.808381,-0.074398,-0.575820,-0.098044,0.579085,0.065930,-0.381629,0.370201,-0.745403,-0.368466,0.415952,0.705769,0.067398,0.153170,0.492099,0.162389,-0.354289,-0.779161
2026-03-26T14:12:46.698243+00:00,0.034542,1774534366698243200,0.553869,0.504665,-0.084304,0.808380,-0.074256,-0.575829,-0.098059,0.578952,0.065942,-0.381802,0.370031,-0.745793,-0.368743,0.416698,0.705272,0.067940,0.152772,0.495140,0.165113,-0.358517,-0.773505
2026-03-26T14:12:46.715272+00:00,0.051571,1774534366715272200,0.553959,0.504693,-0.084255,0.808392,-0.074168,-0.575832,-0.097952,0.578936,0.065952,-0.381841,0.370932,-0.743937,-0.367874,0.416035,0.704722,0.068402,0.152286,0.497187,0.167691,-0.362646,-0.770327
2026-03-26T14:12:46.732295+00:00,0.068594,1774534366732295100,0.554050,0.504717,-0.084219,0.808394,-0.074178,-0.575827,-0.097924,0.578698,0.065947,-0.382207,0.370885,-0.744491,-0.367923,0.416586,0.704236,0.068849,0.151760,0.499413,0.169832,-0.365957,-0.766842
2026-03-26T14:12:46.749458+00:00,0.085757,1774534366749458200,0.554152,0.504730,-0.084195,0.808442,-0.074108,-0.575763,-0.097937,0.578564,0.065950,-0.382471,0.370575,-0.745116,-0.367957,0.417429,0.704206,0.069358,0.151175,0.498196,0.170063,-0.368544,-0.766654
2026-03-26T14:12:46.766418+00:00,0.102717,1774534366766418000,0.554237,0.504763,-0.084160,0.808745,-0.074083,-0.575085,-0.097946,0.578459,0.065950,-0.382715,0.371526,-0.743210,-0.366990,0.416922,0.704125,0.069852,0.150532,0.498122,0.171018,-0.371482,-0.765005
2026-03-26T14:12:46.783659+00:00,0.119958,1774534366783659500,0.554349,0.504753,-0.084141,0.808844,-0.074069,-0.574935,-0.098019,0.578393,0.065958,-0.382942,0.371815,-0.743019,-0.366774,0.417197,0.703992,0.070399,0.149883,0.498243,0.172189,-0.374371,-0.763253
2026-03-26T14:12:46.800585+00:00,0.136883,1774534366800584600,0.554482,0.504767,-0.084116,0.808722,-0.074149,-0.575100,-0.098085,0.578299,0.065931,-0.383157,0.372507,-0.742278,-0.366501,0.416975,0.703513,0.070977,0.149204,0.501584,0.173149,-0.375590,-0.759297
2026-03-26T14:12:46.817670+00:00,0.153969,1774534366817670200,0.554606,0.504746,-0.084071,0.808726,-0.074164,-0.575077,-0.098181,0.578256,0.065988,-0.383352,0.372851,-0.742031,-0.366529,0.417089,0.703112,0.071563,0.148520,0.503581,0.174115,-0.377546,-0.756786
2026-03-26T14:12:46.834921+00:00,0.171220,1774534366834921200,0.554742,0.504756,-0.084012,0.808653,-0.074158,-0.575167,-0.098348,0.578218,0.065972,-0.383530,0.372206,-0.744141,-0.367740,0.418394,0.702664,0.072329,0.147644,0.508577,0.171897,-0.375671,-0.755804
2026-03-26T14:12:46.851758+00:00,0.188057,1774534366851758300,0.554884,0.504770,-0.083919,0.808660,-0.074130,-0.575162,-0.098413,0.578166,0.066031,-0.383702,0.373010,-0.742788,-0.367259,0.417816,0.702206,0.072845,0.146943,0.513817,0.169472,-0.372901,-0.754056
2026-03-26T14:12:46.868767+00:00,0.205065,1774534366868766500,0.555010,0.504777,-0.083832,0.808669,-0.074033,-0.575142,-0.098613,0.578144,0.066122,-0.383865,0.373611,-0.741469,-0.366815,0.417513,0.701736,0.073509,0.146292,0.516980,0.169087,-0.372388,-0.752427
2026-03-26T14:12:46.885817+00:00,0.222116,1774534366885817300,0.555142,0.504774,-0.083747,0.808649,-0.073969,-0.575156,-0.098810,0.578124,0.066196,-0.384018,0.373627,-0.741944,-0.367046,0.417796,0.701265,0.074107,0.145709,0.520081,0.168891,-0.371697,-0.750118
2026-03-26T14:12:46.904621+00:00,0.240919,1774534366904620500,0.555289,0.504764,-0.083660,0.808644,-0.073900,-0.575154,-0.098953,0.578123,0.066288,-0.384173,0.373390,-0.742946,-0.367555,0.418634,0.700899,0.074672,0.145199,0.521961,0.168246,-0.370866,-0.748608
2026-03-26T14:12:46.919920+00:00,0.256219,1774534366919920100,0.555412,0.504753,-0.083609,0.808636,-0.073849,-0.575158,-0.099072,0.578106,0.066390,-0.384305,0.374342,-0.741031,-0.366836,0.417823,0.700791,0.075054,0.144858,0.521977,0.167908,-0.371028,-0.749792
2026-03-26T14:12:46.936969+00:00,0.273268,1774534366936969300,0.555552,0.504725,-0.083563,0.808620,-0.073923,-0.575169,-0.099142,0.578090,0.066509,-0.384452,0.374132,-0.742453,-0.367805,0.418638,0.700720,0.075379,0.144622,0.522624,0.167199,-0.370010,-0.749580
2026-03-26T14:12:46.954085+00:00,0.290383,1774534366954084700,0.555697,0.504686,-0.083535,0.808582,-0.074071,-0.575197,-0.099295,0.578045,0.066680,-0.384625,0.375222,-0.741864,-0.368048,0.418360,0.700708,0.075604,0.144456,0.522732,0.166379,-0.368994,-0.750091
2026-03-26T14:12:46.970858+00:00,0.307157,1774534366970858100,0.555822,0.504641,-0.083529,0.808561,-0.074201,-0.575210,-0.099403,0.578000,0.066920,-0.384804,0.376922,-0.740450,-0.368076,0.418102,0.700642,0.075807,0.144392,0.523680,0.165451,-0.366667,-0.750316
2026-03-26T14:12:46.987872+00:00,0.324171,1774534366987871900,0.555959,0.504593,-0.083540,0.808552,-0.074342,-0.575211,-0.099442,0.577920,0.067219,-0.385005,0.379000,-0.738469,-0.367864,0.417317,0.700631,0.075996,0.144390,0.524417,0.164649,-0.364492,-0.751679
2026-03-26T14:12:47.005079+00:00,0.341378,1774534367005079200,0.556102,0.504552,-0.083587,0.808593,-0.074483,-0.575149,-0.099395,0.577819,0.067510,-0.385229,0.380115,-0.739315,-0.368829,0.417873,0.700453,0.076197,0.144511,0.526492,0.164283,-0.360959,-0.751614
2026-03-26T14:12:47.022042+00:00,0.358340,1774534367022041700,0.556220,0.504531,-0.083576,0.808954,-0.074581,-0.574386,-0.099375,0.577704,0.067800,-0.385491,0.381715,-0.738421,-0.369111,0.417838,0.700182,0.076383,0.144657,0.529343,0.164375,-0.357467,-0.751000
2026-03-26T14:12:47.039054+00:00,0.375353,1774534367039053800,0.556376,0.504494,-0.083655,0.809098,-0.074749,-0.574282,-0.099403,0.577579,0.068097,-0.385799,0.383853,-0.736427,-0.367979,0.417015,0.700122,0.076613,0.145045,0.530860,0.164503,-0.355371,-0.751295
2026-03-26T14:12:47.056201+00:00,0.392500,1774534367056201100,0.556542,0.504439,-0.083821,0.809213,-0.074972,-0.574097,-0.099420,0.577467,0.068387,-0.386134,0.384979,-0.736648,-0.368028,0.416908,0.699970,0.076867,0.145554,0.531789,0.164553,-0.352603,-0.751995
