timestamp,time_seconds,timestamp_ns,t_ms,t_ms_corrected_ns,gripper_side,sw,opening_mm,angle_deg
2026-03-26T14:14:34.790861+00:00,0.007210,1774534474790861312,1180820,1774534474790861312,left,OFF,0.6,0.98
2026-03-26T14:14:34.807403+00:00,0.023751,1774534474807402512,1180836,1774534474807402512,left,OFF,0.5,0.9
2026-03-26T14:14:34.822843+00:00,0.039192,1774534474822843512,1180852,1774534474822843512,left,OFF,0.5,0.9
2026-03-26T14:14:34.759308+00:00,-0.024343,1774534474759308312,1180788,1774534474759206144,left,OFF,0.6,0.98
2026-03-26T14:14:34.774717+00:00,-0.008934,1774534474774717412,1180804,1774534474775210496,left,OFF,0.5,0.9
2026-03-26T14:14:34.839438+00:00,0.055787,1774534474839438112,1180868,1774534474839312128,left,OFF,0.5,0.9
2026-03-26T14:14:34.855729+00:00,0.072078,1774534474855728912,1180884,1774534474855609088,left,OFF,0.5,0.9
2026-03-26T14:14:34.871240+00:00,0.087589,1774534474871240112,1180900,1774534474871500032,left,OFF,0.5,0.9
2026-03-26T14:14:34.887462+00:00,0.103811,1774534474887462212,1180916,1774534474887535616,left,OFF,0.5,0.9
2026-03-26T14:14:34.902995+00:00,0.119343,1774534474902994812,1180932,1774534474903359488,left,OFF,0.5,0.9
2026-03-26T14:14:34.919258+00:00,0.135607,1774534474919258412,1180948,1774534474919341312,left,OFF,0.6,0.98
2026-03-26T14:14:34.935931+00:00,0.152280,1774534474935931312,1180964,1774534474935560448,left,OFF,0.6,0.98
2026-03-26T14:14:34.952297+00:00,0.168646,1774534474952297412,1180980,1774534474951832064,left,OFF,0.6,0.98
2026-03-26T14:14:34.967597+00:00,0.183945,1774534474967596812,1180996,1774534474967822848,left,OFF,0.5,0.9
2026-03-26T14:14:34.984210+00:00,0.200559,1774534474984210212,1181012,1774534474983982336,left,OFF,0.5,0.9
2026-03-26T14:14:34.999558+00:00,0.215907,1774534474999557912,1181028,1774534474999934976,left,OFF,0.5,0.9
2026-03-26T14:14:35.015944+00:00,0.232292,1774534475015943812,1181044,1774534475015989504,left,OFF,0.5,0.9
2026-03-26T14:14:35.031440+00:00,0.247789,1774534475031440412,1181060,1774534475031916288,left,OFF,0.6,0.98
