timestamp,time_seconds,timestamp_ns,t_ms,t_ms_corrected_ns,gripper_side,sw,opening_mm,angle_deg
2026-03-26T14:15:33.590143+00:00,58.806492,1774534533590142912,1240340,1774534533590142912,right,ON,15.6,24.79
2026-03-26T14:15:33.606577+00:00,58.822926,1774534533606577512,1240356,1774534533606577512,right,ON,15.8,25.05
2026-03-26T14:15:33.622011+00:00,0.025025,1774534533622010612,1240372,1774534533622010612,right,ON,16.0,25.31
2026-03-26T14:15:33.638689+00:00,0.041703,1774534533638688712,1240388,1774534533638515456,right,ON,16.0,25.4
2026-03-26T14:15:33.558794+00:00,-0.038191,1774534533558794612,1240308,1774534533558621184,right,ON,15.6,24.79
2026-03-26T14:15:33.573948+00:00,-0.023037,1774534533573948112,1240324,1774534533574609152,right,ON,15.7,24.87
2026-03-26T14:15:33.655346+00:00,0.058360,1774534533655346012,1240404,1774534533655056640,right,ON,16.0,25.4
2026-03-26T14:15:33.670343+00:00,0.073358,1774534533670343512,1240420,1774534533670802944,right,ON,16.0,25.4
2026-03-26T14:15:33.687028+00:00,0.090043,1774534533687028112,1240436,1774534533686968576,right,ON,16.0,25.4
2026-03-26T14:15:33.702177+00:00,0.105191,1774534533702176412,1240452,1774534533702711808,right,ON,16.0,25.4
2026-03-26T14:15:33.718683+00:00,0.121697,1774534533718682712,1240468,1774534533718731520,right,ON,16.0,25.4
2026-03-26T14:15:33.734891+00:00,0.137906,1774534533734891612,1240484,1774534533734815744,right,ON,16.0,25.4
2026-03-26T14:15:33.750800+00:00,0.153815,1774534533750800412,1240500,1774534533750845184,right,ON,16.0,25.4
2026-03-26T14:15:33.767084+00:00,0.170098,1774534533767083912,1240516,1774534533766949120,right,ON,16.0,25.4
2026-03-26T14:15:33.783586+00:00,0.186600,1774534533783585912,1240532,1774534533783163904,right,ON,16.3,25.84
2026-03-26T14:15:33.798692+00:00,0.201707,1774534533798692412,1240548,1774534533799097600,right,ON,16.7,26.46
2026-03-26T14:15:33.815301+00:00,0.218315,1774534533815300712,1240564,1774534533815191040,right,ON,16.9,26.63
2026-03-26T14:15:33.830619+00:00,0.233633,1774534533830618512,1240580,1774534533831108352,right,ON,16.9,26.63
2026-03-26T14:15:33.847198+00:00,0.250212,1774534533847197512,1240596,1774534533847165184,right,ON,16.9,26.63
2026-03-26T14:15:33.863366+00:00,0.266380,1774534533863365612,1240612,1774534533863245056,right,ON,16.9,26.63
2026-03-26T14:15:33.878696+00:00,0.281710,1774534533878695812,1240628,1774534533879179520,right,ON,16.9,26.63
2026-03-26T14:15:33.895267+00:00,0.298282,1774534533895267112,1240644,1774534533895230208,right,ON,16.9,26.63
2026-03-26T14:15:33.912190+00:00,0.315205,1774534533912190312,1240660,1774534533911435520,right,ON,16.9,26.63
2026-03-26T14:15:33.927066+00:00,0.330080,1774534533927066012,1240676,1774534533927418112,right,ON,16.9,26.63
2026-03-26T14:15:33.943308+00:00,0.346323,1774534533943308312,1240692,1774534533943441664,right,ON,16.9,26.63
2026-03-26T14:15:33.958737+00:00,0.361751,1774534533958736612,1240708,1774534533959371520,right,ON,16.9,26.63
2026-03-26T14:15:33.975192+00:00,0.378206,1774534533975191512,1240724,1774534533975378688,right,ON,16.9,26.72
2026-03-26T14:15:33.991789+00:00,0.394804,1774534533991789112,1240740,1774534533991471104,right,ON,16.9,26.72
2026-03-26T14:15:34.007245+00:00,0.410259,1774534534007244912,1240756,1774534534007474944,right,ON,16.7,26.37
2026-03-26T14:15:34.023620+00:00,0.426634,1774534534023619912,1240772,1774534534023528448,right,ON,16.4,25.93
2026-03-26T14:15:34.039787+00:00,0.442801,1774534534039786512,1240788,1774534534039597312,right,ON,16.3,25.84
2026-03-26T14:15:34.055954+00:00,0.458969,1774534534055954212,1240804,1774534534055678720,right,ON,16.3,25.84
2026-03-26T14:15:34.072005+00:00,0.475019,1774534534072004912,1240820,1774534534071757312,right,ON,16.3,25.75
2026-03-26T14:15:34.087194+00:00,0.490208,1774534534087193812,1240836,1774534534087729920,right,ON,16.1,25.49
2026-03-26T14:15:34.103638+00:00,0.506653,1774534534103638112,1240852,1774534534103756288,right,ON,15.5,24.7
2026-03-26T14:15:34.120073+00:00,0.523087,1774534534120072812,1240868,1774534534119828480,right,ON,15.1,23.99
2026-03-26T14:15:34.135790+00:00,0.538805,1774534534135790212,1240884,1774534534135862272,right,ON,15.1,23.99
2026-03-26T14:15:34.151884+00:00,0.554899,1774534534151884212,1240900,1774534534151902208,right,ON,14.9,23.73
2026-03-26T14:15:34.172739+00:00,0.575753,1774534534172739012,1240916,1774534534168442112,right,ON,14.4,22.94
2026-03-26T14:15:34.183752+00:00,0.586766,1774534534183751912,1240932,1774534534184428544,right,ON,13.2,21.18
2026-03-26T14:15:34.200099+00:00,0.603114,1774534534200099412,1240948,1774534534200449792,right,ON,11.1,18.11
2026-03-26T14:15:34.215443+00:00,0.618457,1774534534215442612,1240964,1774534534216404992,right,ON,9.0,14.94
2026-03-26T14:15:34.232213+00:00,0.635227,1774534534232212912,1240980,1774534534232435968,right,ON,7.7,12.66
2026-03-26T14:15:34.249610+00:00,0.652624,1774534534249609612,1240996,1774534534248592128,right,ON,6.9,11.43
2026-03-26T14:15:34.263845+00:00,0.666860,1774534534263845412,1241012,1774534534264577024,right,ON,6.3,10.37
2026-03-26T14:15:34.280812+00:00,0.683827,1774534534280812212,1241028,1774534534280647424,right,ON,5.8,9.58
2026-03-26T14:15:34.296629+00:00,0.699643,1774534534296628812,1241044,1774534534296696064,right,ON,5.3,8.7
2026-03-26T14:15:34.312760+00:00,0.715774,1774534534312759612,1241060,1774534534312751360,right,ON,5.1,8.44
2026-03-26T14:15:34.328349+00:00,0.731364,1774534534328349312,1241076,1774534534328768512,right,ON,5.1,8.35
2026-03-26T14:15:34.344486+00:00,0.747500,1774534534344485612,1241092,1774534534344794880,right,ON,5.0,8.26
2026-03-26T14:15:34.360444+00:00,0.763459,1774534534360444512,1241108,1774534534360815872,right,ON,4.9,8.17
2026-03-26T14:15:34.376672+00:00,0.779686,1774534534376671912,1241124,1774534534376852224,right,ON,4.9,8.09
2026-03-26T14:15:34.397226+00:00,0.800241,1774534534397226212,1241140,1774534534393232896,right,ON,4.8,7.91
2026-03-26T14:15:34.408615+00:00,0.811630,1774534534408615412,1241156,1774534534409243136,right,ON,4.7,7.73
2026-03-26T14:15:34.425191+00:00,0.828205,1774534534425190612,1241172,1774534534425294592,right,ON,4.6,7.65
2026-03-26T14:15:34.441406+00:00,0.844420,1774534534441406012,1241188,1774534534441357568,right,ON,4.5,7.47
2026-03-26T14:15:34.456669+00:00,0.859683,1774534534456668612,1241204,1774534534457363968,right,ON,4.5,7.38
2026-03-26T14:15:34.472709+00:00,0.875724,1774534534472709212,1241220,1774534534473372416,right,ON,4.3,7.12
2026-03-26T14:15:34.488601+00:00,0.891616,1774534534488601412,1241236,1774534534489372416,right,ON,4.2,6.86
2026-03-26T14:15:34.505803+00:00,0.908817,1774534534505803012,1241252,1774534534505452800,right,ON,4.0,6.68
2026-03-26T14:15:34.521236+00:00,0.924251,1774534534521236312,1241268,1774534534521490688,right,ON,3.9,6.5
2026-03-26T14:15:34.536774+00:00,0.939788,1774534534536773612,1241284,1774534534537495808,right,ON,3.9,6.42
2026-03-26T14:15:34.553573+00:00,0.956587,1774534534553572912,1241300,1774534534553551360,right,ON,3.8,6.33
2026-03-26T14:15:34.569417+00:00,0.972431,1774534534569416412,1241316,1774534534569593600,right,ON,3.8,6.24
2026-03-26T14:15:34.585645+00:00,0.988660,1774534534585645212,1241332,1774534534585647104,right,ON,3.7,6.15
2026-03-26T14:15:34.604696+00:00,1.007710,1774534534604695512,1241348,1774534534601883904,right,ON,3.7,6.06
2026-03-26T14:15:34.616881+00:00,1.019896,1774534534616881512,1241364,1774534534617874688,right,ON,3.6,5.98
2026-03-26T14:15:34.633322+00:00,1.036337,1774534534633322512,1241380,1774534534633902080,right,ON,3.6,5.98
2026-03-26T14:15:34.649041+00:00,1.052055,1774534534649040912,1241396,1774534534649890816,right,ON,3.6,5.98
2026-03-26T14:15:34.665224+00:00,1.068238,1774534534665223612,1241412,1774534534665907200,right,ON,3.6,5.98
2026-03-26T14:15:34.682003+00:00,1.085017,1774534534682002412,1241428,1774534534681988352,right,ON,3.6,5.89
2026-03-26T14:15:34.697016+00:00,1.100031,1774534534697016312,1241444,1774534534697974016,right,ON,3.6,5.89
2026-03-26T14:15:34.713626+00:00,1.116641,1774534534713626212,1241460,1774534534714014464,right,ON,3.6,5.89
2026-03-26T14:15:34.728715+00:00,1.131730,1774534534728715212,1241476,1774534534729968896,right,ON,3.6,5.89
2026-03-26T14:15:34.745772+00:00,1.148787,1774534534745772212,1241492,1774534534745999872,right,ON,3.6,5.89
2026-03-26T14:15:34.761720+00:00,1.164734,1774534534761720012,1241508,1774534534762030080,right,ON,3.5,5.8
2026-03-26T14:15:34.778251+00:00,1.181265,1774534534778250812,1241524,1774534534778085632,right,ON,3.5,5.71
2026-03-26T14:15:34.794366+00:00,1.197381,1774534534794366212,1241540,1774534534794151936,right,ON,3.4,5.63
2026-03-26T14:15:34.810393+00:00,1.213408,1774534534810393412,1241556,1774534534810231040,right,ON,3.4,5.63
2026-03-26T14:15:34.831490+00:00,1.234505,1774534534831490212,1241572,1774534534826589184,right,ON,3.4,5.63
2026-03-26T14:15:34.841855+00:00,1.244869,1774534534841854612,1241588,1774534534842609920,right,ON,3.4,5.54
2026-03-26T14:15:34.856992+00:00,1.260007,1774534534856992412,1241604,1774534534858552576,right,ON,3.4,5.54
2026-03-26T14:15:34.874009+00:00,1.277023,1774534534874008912,1241620,1774534534874572288,right,ON,3.4,5.54
2026-03-26T14:15:34.889891+00:00,1.292906,1774534534889891112,1241636,1774534534890585856,right,ON,3.4,5.54
2026-03-26T14:15:34.905669+00:00,1.308684,1774534534905669412,1241652,1774534534906561280,right,ON,3.4,5.54
2026-03-26T14:15:34.923216+00:00,1.326231,1774534534923216212,1241668,1774534534922644736,right,ON,3.4,5.54
2026-03-26T14:15:34.938564+00:00,1.341578,1774534534938564012,1241684,1774534534938711552,right,ON,3.4,5.54
2026-03-26T14:15:34.953924+00:00,1.356939,1774534534953924312,1241700,1774534534954700800,right,ON,3.4,5.54
2026-03-26T14:15:34.969960+00:00,1.372975,1774534534969960412,1241716,1774534534970695680,right,ON,3.4,5.54
