timestamp,time_seconds,timestamp_ns,t_ms,t_ms_corrected_ns,drift_quality,gripper_side,sw,opening_mm,angle_deg
2026-04-21T02:45:52.932110+00:00,29.891126,1776739552932109617,258276,1776739552932109617,rough_corrected,right,ON,9.8,15.82
2026-04-21T02:45:52.948990+00:00,29.907126,1776739552948990217,258292,1776739552948109617,rough_corrected,right,ON,9.6,15.56
2026-04-21T02:45:52.965311+00:00,29.923126,1776739552965311217,258308,1776739552964109617,rough_corrected,right,ON,9.1,14.68
2026-04-21T02:45:52.980404+00:00,0.027085,1776739552980403817,258324,1776739552980884224,corrected,right,ON,8.6,13.97
2026-04-21T02:45:52.997220+00:00,0.043334,1776739552997219817,258340,1776739552997133568,corrected,right,ON,8.7,14.06
2026-04-21T02:45:52.884004+00:00,-0.069217,1776739552884004217,258228,1776739552884582656,corrected,right,ON,9.8,15.82
2026-04-21T02:45:52.901054+00:00,-0.053170,1776739552901054217,258244,1776739552900629248,corrected,right,ON,9.8,15.91
2026-04-21T02:45:52.921384+00:00,-0.036838,1776739552921383617,258260,1776739552916961536,corrected,right,ON,9.8,15.91
2026-04-21T02:45:53.013459+00:00,0.059583,1776739553013459417,258356,1776739553013382144,corrected,right,ON,8.7,14.06
2026-04-21T02:45:53.032974+00:00,0.077350,1776739553032973817,258372,1776739553031149568,corrected,right,ON,8.6,13.97
2026-04-21T02:45:53.045172+00:00,0.092848,1776739553045172517,258388,1776739553046647552,corrected,right,ON,8.2,13.27
2026-04-21T02:45:53.060526+00:00,0.108259,1776739553060525517,258404,1776739553062057728,corrected,right,ON,7.7,12.39
2026-04-21T02:45:53.077055+00:00,0.124028,1776739553077055517,258420,1776739553077827072,corrected,right,ON,6.8,11.07
2026-04-21T02:45:53.092349+00:00,0.139634,1776739553092349017,258436,1776739553093433344,corrected,right,ON,6.1,9.84
2026-04-21T02:45:53.108894+00:00,0.155503,1776739553108893617,258452,1776739553109302272,corrected,right,ON,5.9,9.49
2026-04-21T02:45:53.125367+00:00,0.171534,1776739553125366717,258468,1776739553125332736,corrected,right,ON,5.9,9.49
2026-04-21T02:45:53.140611+00:00,0.187362,1776739553140611417,258484,1776739553141161472,corrected,right,ON,5.9,9.58
2026-04-21T02:45:53.157122+00:00,0.203351,1776739553157122117,258500,1776739553157150464,corrected,right,ON,5.9,9.58
2026-04-21T02:45:53.173526+00:00,0.219435,1776739553173525917,258516,1776739553173233920,corrected,right,ON,5.9,9.58
2026-04-21T02:45:53.188922+00:00,0.235372,1776739553188922017,258532,1776739553189170688,corrected,right,ON,5.9,9.58
2026-04-21T02:45:53.205429+00:00,0.251424,1776739553205428617,258548,1776739553205222912,corrected,right,ON,5.9,9.58
2026-04-21T02:45:53.220790+00:00,0.267342,1776739553220789917,258564,1776739553221141504,corrected,right,ON,5.9,9.58
2026-04-21T02:45:53.237220+00:00,0.283354,1776739553237219517,258580,1776739553237153536,corrected,right,ON,5.9,9.49
2026-04-21T02:45:53.256701+00:00,0.299982,1776739553256701117,258596,1776739553253781504,corrected,right,ON,5.6,9.14
2026-04-21T02:45:53.269039+00:00,0.315893,1776739553269038717,258612,1776739553269691904,corrected,right,ON,5.5,8.88
2026-04-21T02:45:53.285540+00:00,0.331897,1776739553285540117,258628,1776739553285696256,corrected,right,ON,4.8,7.82
2026-04-21T02:45:53.301948+00:00,0.347964,1776739553301948317,258644,1776739553301763328,corrected,right,ON,3.7,6.06
2026-04-21T02:45:53.317340+00:00,0.363930,1776739553317340417,258660,1776739553317729280,corrected,right,ON,2.1,3.34
2026-04-21T02:45:53.333704+00:00,0.379953,1776739553333703517,258676,1776739553333751808,corrected,right,ON,1.2,2.02
2026-04-21T02:45:53.349149+00:00,0.395894,1776739553349149317,258692,1776739553349693184,corrected,right,ON,1.2,1.93
2026-04-21T02:45:53.365639+00:00,0.411909,1776739553365639417,258708,1776739553365707776,corrected,right,ON,1.1,1.76
2026-04-21T02:45:53.381961+00:00,0.427963,1776739553381961117,258724,1776739553381762304,corrected,right,ON,1.2,2.02
2026-04-21T02:45:53.397450+00:00,0.443946,1776739553397450017,258740,1776739553397745664,corrected,right,ON,1.2,2.02
2026-04-21T02:45:53.418739+00:00,0.460582,1776739553418739117,258756,1776739553414380800,corrected,right,ON,1.2,1.93
2026-04-21T02:45:53.430398+00:00,0.476631,1776739553430398517,258772,1776739553430430464,corrected,right,ON,1.2,1.93
2026-04-21T02:45:53.445584+00:00,0.492581,1776739553445584017,258788,1776739553446380032,corrected,right,ON,1.2,1.93
2026-04-21T02:45:53.464036+00:00,0.508811,1776739553464035917,258804,1776739553462609920,corrected,right,ON,1.2,2.02
2026-04-21T02:45:53.477548+00:00,0.524745,1776739553477547817,258820,1776739553478544640,corrected,right,ON,1.2,2.02
2026-04-21T02:45:53.493855+00:00,0.540718,1776739553493854617,258836,1776739553494517248,corrected,right,ON,1.2,2.02
2026-04-21T02:45:53.510356+00:00,0.556745,1776739553510356317,258852,1776739553510544128,corrected,right,ON,1.2,2.02
2026-04-21T02:45:53.525650+00:00,0.572697,1776739553525650217,258868,1776739553526496256,corrected,right,ON,1.2,2.02
2026-04-21T02:45:53.542165+00:00,0.588704,1776739553542164817,258884,1776739553542503168,corrected,right,ON,1.2,2.02
2026-04-21T02:45:53.558684+00:00,0.604760,1776739553558684517,258900,1776739553558558720,corrected,right,ON,1.2,2.02
2026-04-21T02:45:53.573949+00:00,0.620741,1776739553573948617,258916,1776739553574540288,corrected,right,ON,1.2,2.02
2026-04-21T02:45:53.590492+00:00,0.636773,1776739553590492017,258932,1776739553590572544,corrected,right,ON,1.2,2.02
2026-04-21T02:45:53.605840+00:00,0.652744,1776739553605839917,258948,1776739553606543360,corrected,right,ON,1.2,2.02
2026-04-21T02:45:53.622293+00:00,0.668757,1776739553622293317,258964,1776739553622555904,corrected,right,ON,1.2,2.02
2026-04-21T02:45:53.639836+00:00,0.684901,1776739553639836117,258980,1776739553638699776,corrected,right,ON,1.2,2.02
2026-04-21T02:45:53.654132+00:00,0.700890,1776739553654131817,258996,1776739553654689024,corrected,right,ON,1.2,2.02
2026-04-21T02:45:53.670629+00:00,0.716921,1776739553670628617,259012,1776739553670719744,corrected,right,ON,1.2,2.02
2026-04-21T02:45:53.688573+00:00,0.733106,1776739553688573417,259028,1776739553686905088,corrected,right,ON,1.3,2.11
2026-04-21T02:45:53.702416+00:00,0.749107,1776739553702415717,259044,1776739553702906112,corrected,right,ON,1.4,2.2
2026-04-21T02:45:53.718699+00:00,0.765129,1776739553718699017,259060,1776739553718928640,corrected,right,ON,1.3,2.11
2026-04-21T02:45:53.734251+00:00,0.781116,1776739553734250417,259076,1776739553734915072,corrected,right,ON,1.4,2.2
2026-04-21T02:45:53.750701+00:00,0.797137,1776739553750701417,259092,1776739553750935808,corrected,right,ON,1.5,2.37
2026-04-21T02:45:53.767011+00:00,0.813179,1776739553767011417,259108,1776739553766977792,corrected,right,ON,1.6,2.55
2026-04-21T02:45:53.782505+00:00,0.829181,1776739553782505217,259124,1776739553782980096,corrected,right,ON,1.5,2.46
2026-04-21T02:45:53.798831+00:00,0.845206,1776739553798830717,259140,1776739553799004928,corrected,right,ON,1.5,2.46
2026-04-21T02:45:53.815355+00:00,0.861265,1776739553815354517,259156,1776739553815064576,corrected,right,ON,1.6,2.55
2026-04-21T02:45:53.830815+00:00,0.877284,1776739553830814717,259172,1776739553831083264,corrected,right,ON,1.5,2.46
