timestamp,time_seconds,timestamp_ns,t_ms,t_ms_corrected_ns,drift_quality,gripper_side,sw,opening_mm,angle_deg
2026-04-21T15:42:24.871994+00:00,35.421005,1776786144871994212,405300,1776786144871994212,rough_corrected,left,OFF,0.0,-0.53
2026-04-21T15:42:24.888332+00:00,0.019326,1776786144888331812,405316,1776786144887994212,rough_corrected,left,OFF,0.0,-0.53
2026-04-21T15:42:24.904846+00:00,0.035326,1776786144904845912,405332,1776786144903994212,rough_corrected,left,OFF,0.0,-0.53
2026-04-21T15:42:24.921611+00:00,0.052832,1776786144921610612,405348,1776786144921500160,corrected,left,OFF,0.0,-0.53
2026-04-21T15:42:24.824220+00:00,-0.044402,1776786144824219712,405252,1776786144824266240,corrected,left,OFF,0.0,-0.53
2026-04-21T15:42:24.840046+00:00,-0.028371,1776786144840046012,405268,1776786144840297216,corrected,left,OFF,0.0,-0.62
2026-04-21T15:42:24.856871+00:00,-0.012277,1776786144856870812,405284,1776786144856390912,corrected,left,OFF,0.0,-0.53
2026-04-21T15:42:24.936667+00:00,0.068547,1776786144936666512,405364,1776786144937214464,corrected,left,OFF,0.0,-0.53
2026-04-21T15:42:24.952085+00:00,0.084080,1776786144952084912,405380,1776786144952747520,corrected,left,OFF,0.0,-0.53
2026-04-21T15:42:24.968652+00:00,0.100069,1776786144968652212,405396,1776786144968737280,corrected,left,OFF,0.0,-0.53
2026-04-21T15:42:24.985123+00:00,0.116257,1776786144985122712,405412,1776786144984924928,corrected,left,OFF,0.0,-0.53
2026-04-21T15:42:25.000575+00:00,0.132171,1776786145000574612,405428,1776786145000838912,corrected,left,OFF,0.0,-0.44
2026-04-21T15:42:25.016952+00:00,0.148241,1776786145016952212,405444,1776786145016908544,corrected,left,OFF,0.0,-0.44
2026-04-21T15:42:25.034121+00:00,0.164660,1776786145034120612,405460,1776786145033328128,corrected,left,OFF,0.0,-0.44
2026-04-21T15:42:25.048810+00:00,0.180580,1776786145048809612,405476,1776786145049247744,corrected,left,OFF,0.0,-0.44
2026-04-21T15:42:25.065536+00:00,0.196716,1776786145065535512,405492,1776786145065383936,corrected,left,OFF,0.0,-0.44
2026-04-21T15:42:25.080673+00:00,0.212597,1776786145080672812,405508,1776786145081264896,corrected,left,OFF,0.0,-0.44
2026-04-21T15:42:25.097189+00:00,0.228626,1776786145097188912,405524,1776786145097294336,corrected,left,OFF,0.0,-0.35
2026-04-21T15:42:25.113615+00:00,0.244745,1776786145113614912,405540,1776786145113413376,corrected,left,OFF,0.0,-0.44
2026-04-21T15:42:25.129005+00:00,0.260709,1776786145129005312,405556,1776786145129376512,corrected,left,OFF,0.0,-0.44
2026-04-21T15:42:25.145649+00:00,0.276809,1776786145145648912,405572,1776786145145476864,corrected,left,OFF,0.0,-0.44
2026-04-21T15:42:25.161885+00:00,0.292936,1776786145161885112,405588,1776786145161604352,corrected,left,OFF,0.0,-0.44
2026-04-21T15:42:25.177216+00:00,0.308918,1776786145177216112,405604,1776786145177585408,corrected,left,OFF,0.0,-0.35
2026-04-21T15:42:25.193760+00:00,0.324997,1776786145193760412,405620,1776786145193665024,corrected,left,OFF,0.0,-0.35
2026-04-21T15:42:25.209260+00:00,0.340978,1776786145209260512,405636,1776786145209646336,corrected,left,OFF,0.0,-0.35
