timestamp,time_seconds,timestamp_ns,t_ms,t_ms_corrected_ns,drift_quality,gripper_side,sw,opening_mm,angle_deg
2026-04-21T12:41:10.361987+00:00,33.739535,1776775270361986717,238516,1776775270361986717,rough_corrected,right,ON,1.2,2.02
2026-04-21T12:41:10.374974+00:00,33.755535,1776775270374973917,238532,1776775270377986717,rough_corrected,right,ON,1.2,2.02
2026-04-21T12:41:10.391599+00:00,0.022349,1776775270391599117,238548,1776775270393986717,rough_corrected,right,ON,1.2,2.02
2026-04-21T12:41:10.326700+00:00,-0.044804,1776775270326700317,238484,1776775270326833920,corrected,right,ON,1.3,2.11
2026-04-21T12:41:10.343755+00:00,-0.028699,1776775270343755517,238500,1776775270342939136,corrected,right,ON,1.2,2.02
2026-04-21T12:41:10.408876+00:00,0.036315,1776775270408876117,238564,1776775270407953152,corrected,right,ON,1.2,2.02
2026-04-21T12:41:10.424976+00:00,0.052821,1776775270424976417,238580,1776775270424458752,corrected,right,ON,1.2,2.02
2026-04-21T12:41:10.439048+00:00,0.068076,1776775270439047717,238596,1776775270439714048,corrected,right,ON,1.3,2.11
2026-04-21T12:41:10.455096+00:00,0.083676,1776775270455095617,238612,1776775270455313664,corrected,right,ON,1.2,2.02
2026-04-21T12:41:10.471475+00:00,0.099594,1776775270471474817,238628,1776775270471232000,corrected,right,ON,1.2,2.02
2026-04-21T12:41:10.486953+00:00,0.115352,1776775270486953517,238644,1776775270486989568,corrected,right,ON,1.2,2.02
2026-04-21T12:41:10.503500+00:00,0.131381,1776775270503500117,238660,1776775270503019008,corrected,right,ON,1.2,2.02
2026-04-21T12:41:10.519874+00:00,0.147527,1776775270519874317,238676,1776775270519165440,corrected,right,ON,1.3,2.11
2026-04-21T12:41:10.535243+00:00,0.163454,1776775270535243017,238692,1776775270535091712,corrected,right,ON,1.4,2.2
2026-04-21T12:41:10.551606+00:00,0.179502,1776775270551606117,238708,1776775270551139584,corrected,right,ON,1.5,2.37
2026-04-21T12:41:10.567067+00:00,0.195403,1776775270567066717,238724,1776775270567041024,corrected,right,ON,1.5,2.37
2026-04-21T12:41:10.583404+00:00,0.211410,1776775270583403717,238740,1776775270583047936,corrected,right,ON,1.5,2.37
2026-04-21T12:41:10.599912+00:00,0.227534,1776775270599912217,238756,1776775270599171584,corrected,right,ON,1.5,2.46
2026-04-21T12:41:10.615096+00:00,0.243460,1776775270615096217,238772,1776775270615097600,corrected,right,ON,1.5,2.37
2026-04-21T12:41:10.631651+00:00,0.259514,1776775270631651117,238788,1776775270631152128,corrected,right,ON,1.4,2.2
2026-04-21T12:41:10.649048+00:00,0.275833,1776775270649048017,238804,1776775270647470848,corrected,right,ON,1.4,2.2
2026-04-21T12:41:10.664108+00:00,0.291925,1776775270664108017,238820,1776775270663563264,corrected,right,ON,1.4,2.2
2026-04-21T12:41:10.679981+00:00,0.307981,1776775270679980417,238836,1776775270679619072,corrected,right,ON,1.4,2.29
2026-04-21T12:41:10.695314+00:00,0.323916,1776775270695313917,238852,1776775270695553536,corrected,right,ON,1.4,2.29
2026-04-21T12:41:10.711814+00:00,0.339941,1776775270711813617,238868,1776775270711579136,corrected,right,ON,1.4,2.29
2026-04-21T12:41:10.728145+00:00,0.356016,1776775270728145017,238884,1776775270727653632,corrected,right,ON,1.4,2.29
