timestamp,time_seconds,timestamp_ns,t_ms,t_ms_corrected_ns,drift_quality,gripper_side,sw,opening_mm,angle_deg
2026-04-21T13:58:05.799953+00:00,70.440595,1776779885799952817,86388,1776779885799952817,rough_corrected,left,OFF,0.0,-0.18
2026-04-21T13:58:05.815168+00:00,70.456595,1776779885815168117,86404,1776779885815952817,rough_corrected,left,OFF,0.0,-0.18
2026-04-21T13:58:05.831702+00:00,70.472595,1776779885831701917,86420,1776779885831952817,rough_corrected,left,OFF,0.0,-0.18
2026-04-21T13:58:05.848007+00:00,0.030963,1776779885848007117,86436,1776779885847812096,corrected,left,OFF,0.0,-0.18
2026-04-21T13:58:05.863523+00:00,0.046818,1776779885863523217,86452,1776779885863666688,corrected,left,OFF,0.0,-0.18
2026-04-21T13:58:05.880015+00:00,0.062999,1776779885880014517,86468,1776779885879847936,corrected,left,OFF,0.0,-0.18
2026-04-21T13:58:05.751601+00:00,-0.065010,1776779885751600917,86340,1776779885751838720,corrected,left,OFF,0.0,-0.26
2026-04-21T13:58:05.776947+00:00,-0.048407,1776779885776947217,86356,1776779885768442112,corrected,left,OFF,0.0,-0.18
2026-04-21T13:58:05.783354+00:00,-0.032425,1776779885783353517,86372,1776779885784424192,corrected,left,OFF,0.0,-0.26
2026-04-21T13:58:05.899696+00:00,0.080812,1776779885899696217,86484,1776779885897660416,corrected,left,OFF,0.0,-0.26
2026-04-21T13:58:05.911840+00:00,0.096319,1776779885911840517,86500,1776779885913167616,corrected,left,OFF,0.0,-0.26
2026-04-21T13:58:05.928400+00:00,0.112194,1776779885928400117,86516,1776779885929042944,corrected,left,OFF,0.0,-0.26
2026-04-21T13:58:05.943734+00:00,0.127871,1776779885943734217,86532,1776779885944719616,corrected,left,OFF,0.0,-0.26
2026-04-21T13:58:05.960187+00:00,0.143779,1776779885960186617,86548,1776779885960628224,corrected,left,OFF,0.0,-0.26
2026-04-21T13:58:05.976729+00:00,0.159869,1776779885976729017,86564,1776779885976718080,corrected,left,OFF,0.0,-0.26
2026-04-21T13:58:05.992052+00:00,0.175748,1776779885992052317,86580,1776779885992597248,corrected,left,OFF,0.0,-0.26
2026-04-21T13:58:06.008615+00:00,0.191798,1776779886008615017,86596,1776779886008647168,corrected,left,OFF,0.0,-0.26
2026-04-21T13:58:06.024909+00:00,0.207907,1776779886024908417,86612,1776779886024755712,corrected,left,OFF,0.0,-0.26
2026-04-21T13:58:06.040402+00:00,0.223876,1776779886040402517,86628,1776779886040725248,corrected,left,OFF,0.0,-0.18
2026-04-21T13:58:06.056938+00:00,0.239966,1776779886056938517,86644,1776779886056814848,corrected,left,OFF,0.0,-0.18
