timestamp,time_seconds,timestamp_ns,t_ms,t_ms_corrected_ns,gripper_side,sw,opening_mm,angle_deg
2026-03-27T17:31:16.603957+00:00,97.197857,1774632676603957212,1254564,1774632676603957212,left,OFF,2.9,4.92
2026-03-27T17:31:16.619640+00:00,97.213540,1774632676619640412,1254580,1774632676619640412,left,OFF,2.9,4.92
2026-03-27T17:31:16.635640+00:00,97.229539,1774632676635639512,1254596,1774632676635639512,left,OFF,2.8,4.83
2026-03-27T17:31:16.652015+00:00,0.032826,1774632676652014912,1254612,1774632676651838976,left,OFF,2.8,4.83
2026-03-27T17:31:16.667339+00:00,0.048150,1774632676667339012,1254628,1774632676667545856,left,OFF,2.9,4.92
2026-03-27T17:31:16.683878+00:00,0.064689,1774632676683877612,1254644,1774632676683678720,left,OFF,2.9,4.92
2026-03-27T17:31:16.555447+00:00,-0.063742,1774632676555447212,1254516,1774632676555305984,left,OFF,2.9,4.92
2026-03-27T17:31:16.589666+00:00,-0.029523,1774632676589666212,1254532,1774632676572454656,left,OFF,2.8,4.83
2026-03-27T17:31:16.591435+00:00,-0.027754,1774632676591434812,1254548,1774632676588718336,left,OFF,2.8,4.83
2026-03-27T17:31:16.699240+00:00,0.080051,1774632676699240012,1254660,1774632676699460864,left,OFF,2.9,4.92
2026-03-27T17:31:16.715760+00:00,0.096571,1774632676715760412,1254676,1774632676715544576,left,OFF,2.9,4.92
2026-03-27T17:31:16.732133+00:00,0.112944,1774632676732133012,1254692,1774632676731741952,left,OFF,2.8,4.83
2026-03-27T17:31:16.747489+00:00,0.128300,1774632676747489312,1254708,1774632676747656192,left,OFF,2.8,4.83
2026-03-27T17:31:16.763865+00:00,0.144676,1774632676763865212,1254724,1774632676763714560,left,OFF,2.9,4.92
2026-03-27T17:31:16.780421+00:00,0.161232,1774632676780420912,1254740,1774632676779921664,left,OFF,2.8,4.83
2026-03-27T17:31:16.795831+00:00,0.176642,1774632676795831012,1254756,1774632676795915264,left,OFF,2.9,4.92
2026-03-27T17:31:16.812173+00:00,0.192984,1774632676812172612,1254772,1774632676811997440,left,OFF,2.9,4.92
2026-03-27T17:31:16.827729+00:00,0.208540,1774632676827728812,1254788,1774632676827954176,left,OFF,2.8,4.83
2026-03-27T17:31:16.844005+00:00,0.224816,1774632676844005212,1254804,1774632676843982080,left,OFF,2.9,4.92
2026-03-27T17:31:16.860437+00:00,0.241248,1774632676860436912,1254820,1774632676860097024,left,OFF,2.9,4.92
2026-03-27T17:31:16.876173+00:00,0.256984,1774632676876172512,1254836,1774632676876136448,left,OFF,2.8,4.83
