timestamp,time_seconds,timestamp_ns,t_ms,t_ms_corrected_ns,gripper_side,sw,opening_mm,angle_deg
2026-03-27T17:56:48.247432+00:00,20.668933,1774634208247431712,1291108,1774634208247431712,right,ON,0.8,1.42
2026-03-27T17:56:48.263947+00:00,0.008428,1774634208263947512,1291124,1774634208263947512,right,ON,0.8,1.42
2026-03-27T17:56:48.280586+00:00,0.025067,1774634208280586512,1291140,1774634208280586512,right,ON,0.7,1.33
2026-03-27T17:56:48.200953+00:00,-0.054567,1774634208200953212,1291060,1774634208199633408,right,ON,0.7,1.24
2026-03-27T17:56:48.218925+00:00,-0.036595,1774634208218925312,1291076,1774634208215876352,right,ON,0.7,1.24
2026-03-27T17:56:48.232066+00:00,-0.023454,1774634208232066212,1291092,1774634208231947008,right,ON,0.7,1.33
2026-03-27T17:56:48.295677+00:00,0.040157,1774634208295676612,1291156,1774634208296116736,right,ON,0.7,1.24
2026-03-27T17:56:48.312253+00:00,0.056733,1774634208312253112,1291172,1774634208312253440,right,ON,0.7,1.24
2026-03-27T17:56:48.327650+00:00,0.072130,1774634208327649812,1291188,1774634208328002560,right,ON,0.7,1.24
2026-03-27T17:56:48.344053+00:00,0.088533,1774634208344053212,1291204,1774634208344042752,right,ON,0.7,1.24
2026-03-27T17:56:48.360447+00:00,0.104928,1774634208360447612,1291220,1774634208360230912,right,ON,0.6,1.15
2026-03-27T17:56:48.376053+00:00,0.120533,1774634208376052812,1291236,1774634208376203776,right,ON,0.7,1.24
2026-03-27T17:56:48.392217+00:00,0.136697,1774634208392216912,1291252,1774634208392239872,right,ON,0.7,1.24
2026-03-27T17:56:48.407711+00:00,0.152191,1774634208407711212,1291268,1774634208408103168,right,ON,0.7,1.24
2026-03-27T17:56:48.424211+00:00,0.168691,1774634208424210612,1291284,1774634208424148992,right,ON,0.8,1.5
2026-03-27T17:56:48.440556+00:00,0.185036,1774634208440555712,1291300,1774634208440277760,right,ON,1.4,2.56
2026-03-27T17:56:48.456061+00:00,0.200541,1774634208456060812,1291316,1774634208456248832,right,ON,2.3,4.05
2026-03-27T17:56:48.472397+00:00,0.216877,1774634208472397412,1291332,1774634208472306688,right,ON,3.9,6.86
2026-03-27T17:56:48.488958+00:00,0.233439,1774634208488958512,1291348,1774634208488479744,right,ON,6.4,11.43
2026-03-27T17:56:48.504354+00:00,0.248834,1774634208504353512,1291364,1774634208504488448,right,ON,9.9,17.59
2026-03-27T17:56:48.520644+00:00,0.265124,1774634208520644012,1291380,1774634208520553728,right,ON,15.2,25.5
2026-03-27T17:56:48.536191+00:00,0.280670,1774634208536190412,1291396,1774634208536518656,right,ON,18.8,30.77
2026-03-27T17:56:48.552536+00:00,0.297016,1774634208552536212,1291412,1774634208552552704,right,ON,20.1,32.7
2026-03-27T17:56:48.568963+00:00,0.313443,1774634208568962612,1291428,1774634208568656128,right,ON,20.1,32.7
2026-03-27T17:56:48.584447+00:00,0.328927,1774634208584446812,1291444,1774634208584655616,right,ON,20.2,32.79
2026-03-27T17:56:48.600812+00:00,0.345293,1774634208600812512,1291460,1774634208600714240,right,ON,20.2,32.79
2026-03-27T17:56:48.617158+00:00,0.361638,1774634208617157912,1291476,1774634208616817920,right,ON,20.2,32.79
2026-03-27T17:56:48.632662+00:00,0.377142,1774634208632662212,1291492,1774634208632832256,right,ON,20.2,32.79
2026-03-27T17:56:48.649084+00:00,0.393564,1774634208649083712,1291508,1774634208648905472,right,ON,20.2,32.79
2026-03-27T17:56:48.664462+00:00,0.408942,1774634208664461712,1291524,1774634208664881408,right,ON,20.2,32.79
2026-03-27T17:56:48.680941+00:00,0.425421,1774634208680940912,1291540,1774634208680924672,right,ON,20.2,32.79
2026-03-27T17:56:48.697368+00:00,0.441848,1774634208697367512,1291556,1774634208697018112,right,ON,20.2,32.79
2026-03-27T17:56:48.712841+00:00,0.457321,1774634208712840712,1291572,1774634208713033728,right,ON,20.2,32.79
2026-03-27T17:56:48.729295+00:00,0.473775,1774634208729295112,1291588,1774634208729102848,right,ON,20.2,32.79
2026-03-27T17:56:48.745591+00:00,0.490071,1774634208745591412,1291604,1774634208745199360,right,ON,20.2,32.79
2026-03-27T17:56:48.761111+00:00,0.505591,1774634208761111112,1291620,1774634208761229824,right,ON,20.2,32.79
2026-03-27T17:56:48.777454+00:00,0.521934,1774634208777454112,1291636,1774634208777295360,right,ON,20.2,32.79
2026-03-27T17:56:48.792996+00:00,0.537476,1774634208792995512,1291652,1774634208793303552,right,ON,20.2,32.79
2026-03-27T17:56:48.809436+00:00,0.553916,1774634208809435712,1291668,1774634208809357568,right,ON,20.2,32.79
2026-03-27T17:56:48.825759+00:00,0.570240,1774634208825759612,1291684,1774634208825439488,right,ON,20.2,32.79
2026-03-27T17:56:48.841374+00:00,0.585854,1774634208841374412,1291700,1774634208841474816,right,ON,20.3,32.88
2026-03-27T17:56:48.857631+00:00,0.602111,1774634208857630812,1291716,1774634208857531648,right,ON,21.1,33.93
2026-03-27T17:56:48.873991+00:00,0.618471,1774634208873991112,1291732,1774634208873617920,right,ON,22.4,35.69
2026-03-27T17:56:48.889450+00:00,0.633930,1774634208889449712,1291748,1774634208889645568,right,ON,23.6,37.27
2026-03-27T17:56:48.905878+00:00,0.650358,1774634208905877912,1291764,1774634208905709824,right,ON,24.4,38.33
2026-03-27T17:56:48.921326+00:00,0.665806,1774634208921325512,1291780,1774634208921718784,right,ON,24.7,38.68
2026-03-27T17:56:48.937730+00:00,0.682210,1774634208937730212,1291796,1774634208937762048,right,ON,25.3,39.38
2026-03-27T17:56:48.954137+00:00,0.698617,1774634208954136912,1291812,1774634208953836544,right,ON,25.6,39.82
2026-03-27T17:56:48.969611+00:00,0.714091,1774634208969611312,1291828,1774634208969861120,right,ON,26.1,40.44
